a	b	c	d			
0.037644773	0.426229926	0.479826741	0.962295597			
0.994658809	0.81759291	0.868491787	0.187024375			
0.402253286	0.385764287	0.205542841	0.7330958			
0.023919277	0.902605877	0.075968133	0.778646577			
0.947425242	0.156925285	0.971032073	0.172040756			
0.372859738	0.419277566	0.709335102	0.279630728			
0.323873189	0.158252419	0.927304722	0.457774856			
0.696366046	0.248165995	0.911956028	0.694308777			
0.764444008	0.269772611	0.093422249	0.259273762			
0.244840182	0.977692335	0.531924768	0.595718616			
0.188261789	0.794080683	0.437823424	0.754562043			
0.404757497	0.442246573	0.679318567	0.400382374			
0.107605121	0.184919528	0.666289577	0.227554175			
0.346984474	0.763888966	0.869119823	0.826268197			
0.540760893	0.113271999	0.049842823	0.343842735			
0.863940093	0.077100576	0.229255102	0.301466929			
0.144710569	0.852691272	0.596612419	0.273987656			
0.769531452	0.929867057	0.216071489	0.487954275			
0.369029369	0.248118134	0.279209185	0.236076349			
